Rank,Title,Author,Score,Syllabus Count
142,Contemporary Strategy Analysis,Contemporary Strategy Analysis,96,"4,293"
143,The Social Contract,The Social Contract,95,"4,268"
144,The Things They Carried: A Work of Fiction,The Things They Carried: A Work of Fiction,95,"4,247"
145,How to Research,How to Research,95,"4,239"
146,The Protestant Ethic and the Spirit of Capitalism,The Protestant Ethic and the Spirit of Capitalism,94,"4,225"
147,Meditations on First Philosophy,Meditations on First Philosophy,96,"4,224"
148,Linear Algebra and Its Applications,Linear Algebra and Its Applications,96,"4,187"
149,Organic Chemistry,Organic Chemistry,96,"4,186"
150,Jak Se Vyrábí Sociologická Znalost,Jak Se Vyrábí Sociologická Znalost,97,"4,184"
151,The Odyssey,The Odyssey,94,"4,176"
152,The SAGE Handbook of Qualitative Research,The SAGE Handbook of Qualitative Research,96,"4,163"
153,"Thinking, Fast and Slow","Thinking, Fast and Slow",96,"4,133"
154,"Fundamentals of Nursing: Concepts, Process, and Practice","Fundamentals of Nursing: Concepts, Process, and Practice",97,"4,114"
155,The Great Gatsby,The Great Gatsby,96,"4,111"
156,A Vindication of the Rights of Woman,A Vindication of the Rights of Woman,95,"4,089"
157,Visual Methodologies,Visual Methodologies,96,"4,087"
158,Jane Eyre,Jane Eyre,95,"4,043"
159,Organic Chemistry,Organic Chemistry,95,"4,029"
160,Consumer Behavior,Consumer Behavior,96,"4,024"
161,Introduction to Econometrics: Brief Edition,Introduction to Econometrics: Brief Edition,96,"4,014"
162,Quantitative Chemical Analysis,Quantitative Chemical Analysis,95,"4,010"
163,Project Management,Project Management,96,"4,007"
164,Development as Freedom,Development as Freedom,94,"3,993"
165,Exercise Physiology,Exercise Physiology,96,"3,968"
166,A Handbook of Reflective and Experiential Learning: Theory and Practice,A Handbook of Reflective and Experiential Learning: Theory and Practice,94,"3,962"
167,Doing a Literature Review in Health and Social Care,Doing a Literature Review in Health and Social Care,95,"3,919"
168,Beloved: A Novel,Beloved: A Novel,95,"3,916"
169,Utilitarianism,Utilitarianism,94,"3,911"
170,Project Management: The Managerial Process,Project Management: The Managerial Process,95,"3,909"
171,Macroeconomics: A European Perspective,Macroeconomics: A European Perspective,96,"3,906"
172,"The Economics of Money, Banking, and Financial Markets","The Economics of Money, Banking, and Financial Markets",96,"3,906"
173,Fundamentals of Database Systems,Fundamentals of Database Systems,96,"3,896"
174,Computer Architecture: A Quantitative Approach,Computer Architecture: A Quantitative Approach,95,"3,892"
175,Poetics,Poetics,94,"3,892"
176,Convergence Culture: Where Old and New Media Collide,Convergence Culture: Where Old and New Media Collide,95,"3,886"
177,Corporate Finance: Core Principles and Applications,Corporate Finance: Core Principles and Applications,96,"3,881"
178,Governing Texas: An Introduction to Texas Politics],Governing Texas: An Introduction to Texas Politics],96,"3,854"
179,Modern Operating Systems,Modern Operating Systems,95,"3,844"
180,Cost Accounting: A Managerial Emphasis,Cost Accounting: A Managerial Emphasis,93,"3,827"
181,Organizational Behavior,Organizational Behavior,95,"3,822"
182,"Principles of Microeconomics: Study Guide, Third Edition","Principles of Microeconomics: Study Guide, Third Edition",94,"3,799"
183,A Rose for Emily,A Rose for Emily,94,"3,794"
184,The Fifth Discipline: The Art and Practice of the Learning Organization,The Fifth Discipline: The Art and Practice of the Learning Organization,94,"3,769"
185,Welding: Principles and Applications,Welding: Principles and Applications,96,"3,762"
186,Social Research,Social Research,94,"3,754"
187,Psychology,Psychology,93,"3,735"
188,Physical Examination and Health Assessment,Physical Examination and Health Assessment,96,"3,731"
189,"The Little, Brown Handbook: High School Version","The Little, Brown Handbook: High School Version",90,"3,720"
190,Qualitative Data Analysis,Qualitative Data Analysis,95,"3,713"
191,Corporate Finance: The Core,Corporate Finance: The Core,96,"3,698"
192,College Algebra,College Algebra,93,"3,696"
193,The Presentation of Self in Everyday Life,The Presentation of Self in Everyday Life,93,"3,692"
194,Jak Napsat Diplomovou Práci,Jak Napsat Diplomovou Práci,95,"3,669"
195,International Business: Competing in the Global Marketplace,International Business: Competing in the Global Marketplace,95,"3,669"
196,Introduction to the Theory of Computation,Introduction to the Theory of Computation,94,"3,658"
197,Operations Management,Operations Management,95,"3,650"
198,Feedback Control of Dynamic Systems,Feedback Control of Dynamic Systems,94,"3,639"
199,Modern Dental Assisting,Modern Dental Assisting,95,"3,624"
200,The American Promise: A History of the United States,The American Promise: A History of the United States,91,"3,600"
